BlockNumber,GetBlockHash,GetBlock,CheckTransactions,CreateTransactions,CreateOutputs,CreateInputs
28751,0.005517244338989258,0.08549976348876953,0.898688793182373,0.14731192588806152,0.40318989753723145,0.17860651016235352
28752,1.1920928955078125e-06,0.007208347320556641,0.2666585445404053,0.045510053634643555,0.09682130813598633,0.07255291938781738
28753,1.6689300537109375e-06,0.013066768646240234,0.25396013259887695,0.03261089324951172,0.0777139663696289,0.06197810173034668
28754,1.430511474609375e-06,0.012510299682617188,0.2960171699523926,0.048265933990478516,0.09003543853759766,0.11266899108886719
28755,1.9073486328125e-06,0.013219594955444336,0.30382657051086426,0.03714561462402344,0.08586311340332031,0.07283210754394531
28756,1.6689300537109375e-06,0.012552022933959961,0.2319028377532959,0.03518533706665039,0.08994793891906738,0.06050920486450195
28757,1.9073486328125e-06,0.012366294860839844,0.33408427238464355,0.03435468673706055,0.09872269630432129,0.07470512390136719
28758,9.5367431640625e-07,1.8803215026855469,0.2916092872619629,0.0357513427734375,0.12074565887451172,0.0784757137298584
28759,1.9073486328125e-06,2.521115303039551,0.22024750709533691,0.03225135803222656,0.07643532752990723,0.06736946105957031
28760,1.9073486328125e-06,0.9563953876495361,0.23933625221252441,0.03203773498535156,0.0991518497467041,0.06066322326660156
28761,1.1920928955078125e-06,0.3212413787841797,0.27150750160217285,0.03493070602416992,0.08447837829589844,0.06761598587036133
28762,1.1920928955078125e-06,0.012486934661865234,0.3450009822845459,0.05622696876525879,0.1669600009918213,0.0759730339050293
28763,9.5367431640625e-07,0.02364802360534668,0.2425858974456787,0.03343677520751953,0.10065364837646484,0.06165432929992676
28764,1.1920928955078125e-06,0.0060880184173583984,0.24307870864868164,0.03612327575683594,0.09189343452453613,0.058893680572509766
28765,1.1920928955078125e-06,0.013293266296386719,0.498166561126709,0.0372164249420166,0.1092841625213623,0.3065528869628906
28766,1.6689300537109375e-06,0.012766122817993164,0.23610329627990723,0.04210519790649414,0.07926034927368164,0.061858415603637695
28767,1.1920928955078125e-06,0.011259794235229492,0.2380666732788086,0.03149771690368652,0.07708120346069336,0.07140970230102539
28768,9.5367431640625e-07,0.007364749908447266,0.2548789978027344,0.03351759910583496,0.09144139289855957,0.07349848747253418
28769,1.1920928955078125e-06,0.013198375701904297,0.2213137149810791,0.03541707992553711,0.07224011421203613,0.05997657775878906
28770,1.1920928955078125e-06,0.004915714263916016,0.2230067253112793,0.030945777893066406,0.09020471572875977,0.05985832214355469
28771,9.5367431640625e-07,0.43166494369506836,0.2584536075592041,0.03384542465209961,0.11094236373901367,0.06609225273132324
28772,1.6689300537109375e-06,0.013604164123535156,0.22121477127075195,0.04076242446899414,0.07381463050842285,0.06383681297302246
28773,1.1920928955078125e-06,0.006419658660888672,0.210357666015625,0.030893564224243164,0.07414579391479492,0.059168100357055664
28774,9.5367431640625e-07,0.01280522346496582,0.24429869651794434,0.03143644332885742,0.0989229679107666,0.0666494369506836
28775,1.6689300537109375e-06,0.013525247573852539,1.2219107151031494,0.03369140625,0.07007336616516113,0.06462335586547852,0.13601207733154297,0.29422593116760254,0.5134396553039551
28776,1.1920928955078125e-06,0.010952949523925781,0.24861836433410645,0.031419992446899414,0.07989144325256348,0.09231281280517578
28777,1.1920928955078125e-06,0.011737585067749023,0.2629575729370117,0.043099403381347656,0.10274314880371094,0.06099700927734375
28778,1.430511474609375e-06,0.0060138702392578125,0.24223589897155762,0.03359627723693848,0.09422802925109863,0.062087297439575195
28779,9.5367431640625e-07,0.31240296363830566,0.23171710968017578,0.03595876693725586,0.0756521224975586,0.07287883758544922
